question,answer
"How to file an FIR?","To file an FIR, visit your nearest police station and provide all relevant details about the incident. The police will register your complaint and give you a copy of the FIR."
"What is the process for lost and found items?","If you have lost an item, visit the nearest police station and provide details about the item. If someone has found it, they may have submitted it to the police."
"What documents are needed for passport verification?","For passport verification, you need to provide proof of address, proof of identity, and a copy of your passport application."
"Hello": "Hello! How can I assist you today?",
    "Hi": "Hi there! How can I help you?",
    "Hii": "Hi there! How can I help you?",
    "hlo": "Hello! How can I assist you today?",
    "Good morning": "Good morning! How can I assist you today?",
    "Good afternoon": "Good afternoon! How can I help you?",
    "Good evening": "Good evening! How can I assist you today?",
    "Hey": "Hey! How can I help you?",
    "What's up?": "Not much, just here to help you! How can I assist you today?",
    "How are you?": "I'm just a chatbot, but I'm here and ready to help you! How can I assist you today?",

    # Police Procedures
    "How to file an FIR?": "To file an FIR, visit your nearest police station and provide all relevant details about the incident. The police will register your complaint and give you a copy of the FIR.",
    "What is the process for lost and found items?": "If you have lost an item, visit the nearest police station and provide details about the item. If someone has found it, they may have submitted it to the police.",
    "What documents are needed for passport verification?": "For passport verification, you need to provide proof of address, proof of identity, and a copy of your passport application.",
    "How to report a missing person?": "To report a missing person, visit your nearest police station and provide details such as the person's name, age, photo, and last known location. The police will initiate a search and investigation.",
    "What should I do in case of a traffic accident?": "In case of a traffic accident, ensure everyone's safety, call the police, and provide details of the incident. Do not move the vehicles until the police arrive, unless it is necessary for safety.",
    "How to apply for a police clearance certificate?": "To apply for a police clearance certificate, visit your local police station with valid identification and proof of address. You may need to fill out an application form and pay a fee.",
    "What is the procedure for filing a domestic violence complaint?": "To file a domestic violence complaint, visit your nearest police station or women's helpline. Provide details of the incident, and the police will take necessary action to ensure your safety.",
    "How to report a theft?": "To report a theft, visit your nearest police station and provide details of the stolen items, the time of the incident, and any suspects. The police will register your complaint and investigate.",
    "What is the process for obtaining a gun license?": "To obtain a gun license, submit an application to your local police station along with necessary documents, such as proof of identity, address, and a valid reason for owning a firearm. The police will conduct a background check before issuing the license.",
    "How to report harassment or stalking?": "To report harassment or stalking, visit your nearest police station and provide details of the incidents, including any evidence such as messages or photos. The police will take appropriate action to protect you.",
    "What is the procedure for filing a noise complaint?": "To file a noise complaint, contact your local police station and provide details of the noise source, location, and time. The police will investigate and take necessary action.",
    "How to report a fraud or scam?": "To report a fraud or scam, visit your nearest police station and provide details of the incident, including any documents or communication related to the fraud. The police will investigate and take appropriate action.",
    "What is the process for obtaining a police escort?": "To obtain a police escort, contact your local police station and provide details of the event or situation requiring an escort. The police will assess the request and provide assistance if necessary.",
    "How to report a hit-and-run incident?": "To report a hit-and-run incident, visit your nearest police station and provide details of the vehicle, location, and time of the incident. The police will investigate and attempt to identify the driver.",
    "What is the procedure for filing a complaint against a police officer?": "To file a complaint against a police officer, visit the police station where the officer is posted or contact the internal affairs department. Provide details of the incident, and the complaint will be investigated.",
    "How to report a suspicious activity?": "To report a suspicious activity, contact your local police station or emergency hotline. Provide details of the activity, location, and any individuals involved. The police will investigate and take necessary action.",
    "What is the process for obtaining a copy of a police report?": "To obtain a copy of a police report, visit the police station where the report was filed and provide details such as the case number and your identification. You may need to pay a fee for the copy.",
    "How to report a drug-related crime?": "To report a drug-related crime, contact your local police station or narcotics control bureau. Provide details of the incident, location, and any suspects. The police will investigate and take appropriate action.",
    "What is the procedure for filing a complaint about loud neighbors?": "To file a complaint about loud neighbors, contact your local police station and provide details of the noise, location, and time. The police will investigate and take necessary action.",

    # Additional Questions
    "What are the operating hours of a police station?": "Police stations typically operate 24/7. However, non-emergency services may have specific timings. It's best to call ahead or check with your local station.",
    "Can I visit a police station for non-emergency issues?": "Yes, you can visit a police station for non-emergency issues such as filing complaints, seeking advice, or obtaining documents like police clearance certificates.",
    "What should I do if I need immediate police assistance?": "For immediate assistance, call the emergency hotline (e.g., 100 in India, 911 in the US). Police will respond promptly to emergencies.",
    "How can I locate the nearest police station?": "You can use online maps, government websites, or call the emergency hotline to find the nearest police station.",
    "Can I file a complaint online instead of visiting a police station?": "Yes, many police departments offer online complaint filing for non-emergency issues. Check your local police website for details.",
    "How to verify if a police officer is genuine?": "Ask for their official identification badge and verify their details with the local police station. Genuine officers will always carry proper identification.",
    "What is the process for obtaining a character certificate?": "Visit your local police station with valid identification, proof of address, and a request letter. The police will conduct a background check before issuing the certificate.",
    "How to report a fake police officer?": "Immediately contact the nearest police station or emergency hotline and provide details of the individual. Do not engage with them directly.",
    "What is the procedure for surrendering illegal items (e.g., weapons, drugs)?": "Visit your local police station and inform them about the items you wish to surrender. The police will guide you through the process and ensure proper disposal.",
    "How to report a forged document?": "Visit your local police station and provide the forged document along with any evidence. The police will investigate and take appropriate action.",
    "What should I do if I witness a crime?": "Do not intervene directly. Call the emergency hotline immediately and provide details of the crime, location, and suspects. Stay at a safe distance until the police arrive.",
    "How to report child abuse or exploitation?": "Contact your local police station or child helpline. Provide details of the incident, and the police will take immediate action to protect the child.",
    "What is the process for reporting elder abuse?": "Visit your local police station or elder helpline and provide details of the abuse. The police will investigate and ensure the safety of the elderly person.",
    "How to report animal cruelty?": "Contact your local police station or animal welfare organization. Provide details of the incident, and the police will take appropriate action.",
    "What should I do if I receive a threatening call or message?": "Do not engage with the caller. Save the message or call details and report it to your local police station immediately.",
    "How to report a traffic violation?": "You can report a traffic violation by visiting your local police station or using online reporting tools. Provide details such as the vehicle number, location, and type of violation.",
    "What is the process for recovering a towed vehicle?": "Contact the local police station or traffic department to find out where your vehicle was towed. You may need to pay a fine and provide proof of ownership to recover it.",
    "How to report a drunk driver?": "Call the emergency hotline and provide details of the vehicle, location, and driver's behavior. The police will intercept the vehicle and take necessary action.",
    "What should I do if my vehicle is stolen?": "Visit your local police station and provide details such as the vehicle's registration number, make, model, and last known location. The police will file a report and initiate an investigation.",
    "How to report a parking violation?": "Contact your local traffic police or use online reporting tools. Provide details such as the vehicle number, location, and type of violation.",
    "How to organize a community safety meeting with the police?": "Contact your local police station and request a community meeting. The police will coordinate with you to schedule and conduct the meeting.",
    "What is the process for reporting a public nuisance?": "Visit your local police station or use online reporting tools. Provide details of the nuisance, location, and time. The police will investigate and take necessary action.",
    "How to report a hate crime?": "Visit your local police station and provide details of the incident, including any evidence. The police will investigate and take appropriate action.",
    "What should I do if I find unclaimed luggage or suspicious items in public?": "Do not touch the items. Immediately inform the police or call the emergency hotline. Provide details of the location and description of the items.",
    "How to report a violation of COVID-19 guidelines?": "Contact your local police station or health department. Provide details of the violation, location, and individuals involved. The police will take necessary action.",
    "How to report a violation of environmental laws?": "Visit your local police station or environmental protection agency. Provide details of the violation, location, and evidence. The police will investigate and take appropriate action.",
    "What is the process for reporting a violation of labor laws?": "Contact your local police station or labor department. Provide details of the violation, and the authorities will investigate and take necessary action.",
    "How to report a violation of building codes?": "Visit your local police station or municipal office. Provide details of the violation, location, and evidence. The authorities will investigate and take appropriate action.",
    "What should I do if I find a lost pet?": "Contact your local police station or animal shelter. Provide details of the pet, and the authorities will help reunite it with its owner.",
    "How to report a violation of public health guidelines?": "Contact your local police station or health department. Provide details of the violation, location, and individuals involved. The authorities will take necessary action.",

    # Emergency Contact Questions
    "What is the emergency number for police?": "The emergency number for police is **100** in India and **911** in the US. Call this number for immediate assistance.",
    "What is the emergency number for fire services?": "The emergency number for fire services is **101** in India and **911** in the US. Call this number in case of a fire emergency.",
    "What is the emergency number for ambulance services?": "The emergency number for ambulance services is **102** in India and **911** in the US. Call this number for medical emergencies.",
    "What is the helpline number for women in distress?": "The helpline number for women in distress is **1091** in India. You can also call **112**, the universal emergency number, for assistance.",
    "What is the child helpline number?": "The child helpline number is **1098** in India. Call this number to report child abuse, exploitation, or any issues related to children.",
    "What is the mental health helpline number?": "The mental health helpline number in India is **080-46110007**. Call this number for support related to mental health issues.",
    "What is the emergency number for disaster management?": "The emergency number for disaster management is **108** in India. Call this number for assistance during natural disasters or emergencies.",
    "What is the helpline number for cybercrime?": "The helpline number for cybercrime in India is **1930**. You can also visit the National Cyber Crime Reporting Portal to file a complaint online.",
    "What is the emergency number for road accidents?": "For road accidents, call **1073** (Highway Helpline) in India or **911** in the US. Provide details of the location and situation.",
    "What is the helpline number for senior citizens?": "The helpline number for senior citizens in India is **14567**. Call this number for assistance related to elder abuse or emergencies.",
    "What is the emergency number for poison control?": "The poison control helpline number in India is **1800-116-117**. Call this number for immediate assistance in case of poisoning.",
    "What is the helpline number for drug abuse?": "The helpline number for drug abuse in India is **1800-11-0031**. Call this number for support related to drug addiction or rehabilitation.",
    "What is the emergency number for railway accidents?": "For railway accidents, call **1512** (Railway Helpline) in India. Provide details of the location and situation.",
    "What is the helpline number for human trafficking?": "The helpline number for human trafficking in India is **1098** (Childline) or **181** (Women Helpline). Call these numbers to report trafficking incidents.",
    "What is the emergency number for animal rescue?": "For animal rescue, contact your local animal welfare organization or call **1962** (Animal Helpline) in India.",
    "What is the helpline number for LGBTQ+ support?": "The helpline number for LGBTQ+ support in India is **1800-419-0909**. Call this number for assistance related to discrimination or emergencies.",
    "What is the emergency number for coastal security?": "For coastal security emergencies, call **1093** (Coastal Security Helpline) in India. Provide details of the situation.",
    "What is the helpline number for missing persons?": "The helpline number for missing persons in India is **1094**. Call this number to report a missing person or seek assistance.",
    "What is the emergency number for bomb threats?": "For bomb threats, call **100** (Police) or **112** (Universal Emergency Number) in India. Provide details of the threat and location.",
    "What is the helpline number for suicide prevention?": "The suicide prevention helpline number in India is **9152987821**. Call this number for immediate support and counseling.",
     "Hello": "Hello! How can I assist you today?",
    "Hi": "Hi there! How can I help you?",
    "Good morning": "Good morning! How can I assist you today?",
    "Good afternoon": "Good afternoon! How can I help you?",
    "Good evening": "Good evening! How can I assist you today?",
    "Hey": "Hey! How can I help you?",
    "What's up?": "Not much, just here to help you! How can I assist you today?",
    "How are you?": "I'm just a chatbot, but I'm here and ready to help you! How can I assist you today?",
    
    "How to check pending traffic fines?": "You can check pending traffic fines by visiting the official state transport department website or using the e-Challan portal.",
    "What happens if I don't pay my traffic fine on time?": "If you do not pay your fine on time, you may receive a legal notice, and your driving license could be suspended or your vehicle seized.",
    "How to dispute a wrongly issued traffic fine?": "To dispute a wrongly issued fine, you need to submit a complaint on the traffic police portal or visit the nearest traffic police station with proof.",
    "What are the helmet rules for two-wheeler riders?": "Wearing a helmet is mandatory for both the rider and the pillion passenger. Failure to comply may result in a fine as per the Motor Vehicles Act.",
    "What is the penalty for riding without a helmet?": "The fine for riding without a helmet varies by state but is generally between ₹500 and ₹1000, along with possible suspension of the driving license.",
    "How to apply for a duplicate driving license?": "To apply for a duplicate driving license, visit your nearest RTO office with an FIR copy (if lost), identity proof, and the required fees.",
    "What is the speed limit for two-wheelers in city areas?": "Speed limits vary by city, but generally, the speed limit for two-wheelers in urban areas is between 40-50 km/h. Check with local authorities for exact limits.",
    "How to report a rash driving complaint?": "To report rash driving, note the vehicle number and report it via the traffic police helpline or the official complaint portal of your state.",
    "Can I use my mobile phone while riding a two-wheeler?": "No, using a mobile phone while riding is a punishable offense and can result in a fine of up to ₹2000 under the Motor Vehicles Act.",
    "What should I do if my two-wheeler is towed?": "If your two-wheeler is towed, visit the nearest traffic police station with valid documents and pay the required fine to retrieve your vehicle.",
    "How to check the validity of my driving license?": "You can check the validity of your driving license online on the Parivahan Sewa website by entering your DL number and date of birth.",
    "What are the rules for carrying an extra passenger on a two-wheeler?": "Only one pillion rider is allowed on a two-wheeler. Carrying more than one passenger can lead to a fine and legal action.",
    "What are the rules for modifying my bike?": "Major modifications affecting engine capacity, exhaust, or color change require RTO approval. Unauthorized modifications can result in fines or seizure of the vehicle.",
    "How to register a new two-wheeler?": "To register a new two-wheeler, visit your RTO office with purchase invoice, insurance, PUC certificate, and identity proof. The RTO will issue a registration certificate (RC).",



    # Greetings (Tamil)
    "வணக்கம்": "வணக்கம்! நான் உங்களுக்கு எப்படி உதவ முடியும்?",
    "ஹாய்": "ஹாய்! நான் உங்களுக்கு எப்படி உதவ முடியும்?",
    "காலை வணக்கம்": "காலை வணக்கம்! நான் உங்களுக்கு எப்படி உதவ முடியும்?",
    "மதிய வணக்கம்": "மதிய வணக்கம்! நான் உங்களுக்கு எப்படி உதவ முடியும்?",
    "மாலை வணக்கம்": "மாலை வணக்கம்! நான் உங்களுக்கு எப்படி உதவ முடியும்?",
    "எப்படி இருக்கிறீர்கள்?": "நான் ஒரு சாட்பாட், ஆனால் உங்களுக்கு உதவ தயாராக இருக்கிறேன்! நான் உங்களுக்கு எப்படி உதவ முடியும்?",

    # Police Procedures (English)
    "How to file an FIR?": "To file an FIR, visit your nearest police station and provide all relevant details about the incident. The police will register your complaint and give you a copy of the FIR.",
    "What is the process for lost and found items?": "If you have lost an item, visit the nearest police station and provide details about the item. If someone has found it, they may have submitted it to the police.",
    "What documents are needed for passport verification?": "For passport verification, you need to provide proof of address, proof of identity, and a copy of your passport application.",
    "How to report a missing person?": "To report a missing person, visit your nearest police station and provide details such as the person's name, age, photo, and last known location. The police will initiate a search and investigation.",
    "What should I do in case of a traffic accident?": "In case of a traffic accident, ensure everyone's safety, call the police, and provide details of the incident. Do not move the vehicles until the police arrive, unless it is necessary for safety.",
    "How to apply for a police clearance certificate?": "To apply for a police clearance certificate, visit your local police station with valid identification and proof of address. You may need to fill out an application form and pay a fee.",
    "What is the procedure for filing a domestic violence complaint?": "To file a domestic violence complaint, visit your nearest police station or women's helpline. Provide details of the incident, and the police will take necessary action to ensure your safety.",
    "How to report a theft?": "To report a theft, visit your nearest police station and provide details of the stolen items, the time of the incident, and any suspects. The police will register your complaint and investigate.",
    "What is the process for obtaining a gun license?": "To obtain a gun license, submit an application to your local police station along with necessary documents, such as proof of identity, address, and a valid reason for owning a firearm. The police will conduct a background check before issuing the license.",
    "How to report harassment or stalking?": "To report harassment or stalking, visit your nearest police station and provide details of the incidents, including any evidence such as messages or photos. The police will take appropriate action to protect you.",
    "What is the procedure for filing a noise complaint?": "To file a noise complaint, contact your local police station and provide details of the noise source, location, and time. The police will investigate and take necessary action.",
    "How to report a fraud or scam?": "To report a fraud or scam, visit your nearest police station and provide details of the incident, including any documents or communication related to the fraud. The police will investigate and take appropriate action.",
    "What is the process for obtaining a police escort?": "To obtain a police escort, contact your local police station and provide details of the event or situation requiring an escort. The police will assess the request and provide assistance if necessary.",
    "How to report a hit-and-run incident?": "To report a hit-and-run incident, visit your nearest police station and provide details of the vehicle, location, and time of the incident. The police will investigate and attempt to identify the driver.",
    "What is the procedure for filing a complaint against a police officer?": "To file a complaint against a police officer, visit the police station where the officer is posted or contact the internal affairs department. Provide details of the incident, and the complaint will be investigated.",
    "How to report a suspicious activity?": "To report a suspicious activity, contact your local police station or emergency hotline. Provide details of the activity, location, and any individuals involved. The police will investigate and take necessary action.",
    "What is the process for obtaining a copy of a police report?": "To obtain a copy of a police report, visit the police station where the report was filed and provide details such as the case number and your identification. You may need to pay a fee for the copy.",
    "How to report a drug-related crime?": "To report a drug-related crime, contact your local police station or narcotics control bureau. Provide details of the incident, location, and any suspects. The police will investigate and take appropriate action.",
    "What is the procedure for filing a complaint about loud neighbors?": "To file a complaint about loud neighbors, contact your local police station and provide details of the noise, location, and time. The police will investigate and take necessary action.",

    # Police Procedures (Tamil)
    "FIR எப்படி பதிவு செய்வது?": "FIR பதிவு செய்ய, உங்கள் அருகிலுள்ள காவல் நிலையம் சென்று சம்பவத்தின் விவரங்களை தெரிவிக்கவும். காவல்துறை உங்கள் புகாரை பதிவு செய்து, FIR-ன் நகலை உங்களுக்கு வழங்கும்.",
    "காணாமல் போன பொருட்களை பற்றி என்ன செய்ய வேண்டும்?": "உங்கள் பொருள் காணாமல் போனால், அருகிலுள்ள காவல் நிலையம் சென்று பொருளின் விவரங்களை தெரிவிக்கவும். யாராவது அதை கண்டுபிடித்திருந்தால், காவல்துறைக்கு சமர்ப்பித்திருக்கலாம்.",
    "சைபர் குற்றத்தை எப்படி புகார் செய்வது?": "சைபர் குற்றத்தை புகார் செய்ய, தேசிய சைபர் குற்றம் புகார் போர்டலுக்கு செல்லவும் அல்லது உங்கள் பகுதி சைபர் குற்றம் செல்-ஐ தொடர்பு கொள்ளவும்.",
    "பாஸ்போர்ட் சரிபார்ப்புக்கு என்ன ஆவணங்கள் தேவை?": "பாஸ்போர்ட் சரிபார்ப்புக்கு, முகவரி சான்று, அடையாள சான்று மற்றும் பாஸ்போர்ட் விண்ணப்பத்தின் நகலை தெரிவிக்க வேண்டும்.",
    "காணாமல் போன நபரை பற்றி புகார் செய்ய எப்படி?": "காணாமல் போன நபரை பற்றி புகார் செய்ய, அருகிலுள்ள காவல் நிலையம் சென்று நபரின் பெயர், வயது, புகைப்படம் மற்றும் கடைசியாக தெரிந்த இடம் போன்ற விவரங்களை தெரிவிக்கவும். காவல்துறை தேடல் மற்றும் விசாரணையை தொடங்கும்.",
    "போக்குவரத்து விபத்து ஏற்பட்டால் என்ன செய்ய வேண்டும்?": "போக்குவரத்து விபத்து ஏற்பட்டால், அனைவரின் பாதுகாப்பை உறுதி செய்து, காவல்துறையை அழைக்கவும். விபத்தின் விவரங்களை தெரிவிக்கவும். காவல்துறை வரும் வரை வாகனங்களை நகர்த்த வேண்டாம், பாதுகாப்பு காரணங்களுக்காக மட்டுமே நகர்த்தவும்.",
    "காவல்துறை அனுமதிச் சான்றிதழ் பெற எப்படி விண்ணப்பிப்பது?": "காவல்துறை அனுமதிச் சான்றிதழ் பெற, உங்கள் பகுதி காவல் நிலையம் சென்று அடையாள சான்று மற்றும் முகவரி சான்று போன்ற ஆவணங்களை தெரிவிக்கவும். விண்ணப்ப படிவத்தை நிரப்பி கட்டணம் செலுத்த வேண்டியிருக்கலாம்.",
    "குடும்ப வன்முறை புகார் எப்படி செய்வது?": "குடும்ப வன்முறை புகார் செய்ய, அருகிலுள்ள காவல் நிலையம் அல்லது பெண்கள் ஹெல்ப்லைனை தொடர்பு கொள்ளவும். சம்பவத்தின் விவரங்களை தெரிவிக்கவும், காவல்துறை உங்கள் பாதுகாப்பை உறுதி செய்யும்.",
    "திருட்டு புகார் எப்படி செய்வது?": "திருட்டு புகார் செய்ய, அருகிலுள்ள காவல் நிலையம் சென்று திருடப்பட்ட பொருட்கள், சம்பவத்தின் நேரம் மற்றும் சந்தேக நபர்கள் போன்ற விவரங்களை தெரிவிக்கவும். காவல்துறை புகாரை பதிவு செய்து விசாரணையை தொடங்கும்.",
    "துப்பாக்கி உரிமம் பெற எப்படி விண்ணப்பிப்பது?": "துப்பாக்கி உரிமம் பெற, உங்கள் பகுதி காவல் நிலையம் சென்று அடையாள சான்று, முகவரி சான்று மற்றும் துப்பாக்கி வைத்திருக்க காரணம் போன்ற ஆவணங்களை தெரிவிக்கவும். காவல்துறை பின்னணி சோதனை செய்து உரிமத்தை வழங்கும்.",
    "வேட்டையாடுதல் அல்லது தொந்தரவு புகார் எப்படி செய்வது?": "வேட்டையாடுதல் அல்லது தொந்தரவு புகார் செய்ய, அருகிலுள்ள காவல் நிலையம் சென்று சம்பவங்களின் விவரங்களை தெரிவிக்கவும். செய்திகள் அல்லது புகைப்படங்கள் போன்ற ஆதாரங்களை தெரிவிக்கவும். காவல்துறை உங்கள் பாதுகாப்பை உறுதி செய்யும்.",
    "ஒலி மாசு புகார் எப்படி செய்வது?": "ஒலி மாசு புகார் செய்ய, உங்கள் பகுதி காவல் நிலையம் தொடர்பு கொண்டு ஒலியின் மூலம், இடம் மற்றும் நேரம் போன்ற விவரங்களை தெரிவிக்கவும். காவல்துறை விசாரணை செய்து தேவையான நடவடிக்கை எடுக்கும்.",
    "மோசடி அல்லது ஏமாற்று புகார் எப்படி செய்வது?": "மோசடி அல்லது ஏமாற்று புகார் செய்ய, அருகிலுள்ள காவல் நிலையம் சென்று சம்பவத்தின் விவரங்களை தெரிவிக்கவும். மோசடி தொடர்பான ஆவணங்கள் அல்லது தொடர்புகளை தெரிவிக்கவும். காவல்துறை விசாரணை செய்து தேவையான நடவடிக்கை எடுக்கும்.",
    "காவல்துறை எஸ்கார்ட் பெற எப்படி கோரிக்கை செய்வது?": "காவல்துறை எஸ்கார்ட் பெற, உங்கள் பகுதி காவல் நிலையம் தொடர்பு கொண்டு எஸ்கார்ட் தேவைப்படும் நிகழ்வு அல்லது சூழ்நிலையின் விவரங்களை தெரிவிக்கவும். காவல்துறை கோரிக்கையை மதிப்பீடு செய்து தேவைப்பட்டால் உதவி வழங்கும்.",
    "ஹிட் அண்ட் ரன் சம்பவத்தை புகார் செய்ய எப்படி?": "ஹிட் அண்ட் ரன் சம்பவத்தை புகார் செய்ய, அருகிலுள்ள காவல் நிலையம் சென்று வாகனத்தின் விவரங்கள், இடம் மற்றும் சம்பவத்தின் நேரம் போன்ற விவரங்களை தெரிவிக்கவும். காவல்துறை விசாரணை செய்து ஓட்டுநரை கண்டறிய முயற்சிக்கும்.",
    "காவல்துறை அதிகாரிக்கு எதிராக புகார் எப்படி செய்வது?": "காவல்துறை அதிகாரிக்கு எதிராக புகார் செய்ய, அந்த அதிகாரி பணியாற்றும் காவல் நிலையம் அல்லது உள் விவகார துறையை தொடர்பு கொள்ளவும். சம்பவத்தின் விவரங்களை தெரிவிக்கவும், புகார் விசாரணை செய்யப்படும்.",
    "சந்தேகத்திற்குரிய செயல்பாட்டை புகார் செய்ய எப்படி?": "சந்தேகத்திற்குரிய செயல்பாட்டை புகார் செய்ய, உங்கள் பகுதி காவல் நிலையம் அல்லது அவசர ஹாட்லைனை தொடர்பு கொள்ளவும். செயல்பாட்டின் விவரங்கள், இடம் மற்றும் தொடர்புடைய நபர்கள் போன்ற விவரங்களை தெரிவிக்கவும். காவல்துறை விசாரணை செய்து தேவையான நடவடிக்கை எடுக்கும்.",
    "காவல்துறை அறிக்கையின் நகலை பெற எப்படி?": "காவல்துறை அறிக்கையின் நகலை பெற, அறிக்கை பதிவு செய்யப்பட்ட காவல் நிலையம் சென்று வழக்கு எண் மற்றும் உங்கள் அடையாள சான்று போன்ற விவரங்களை தெரிவிக்கவும். நகலுக்கு கட்டணம் செலுத்த வேண்டியிருக்கலாம்.",
